comment,comment_likes_num,artist_likes_num,artist_followers_num,views_num,AI,toxic
i would get rid of the ai if i could. u cheaters have ruined the artest industry.  i know i'm toxic but screw u. it's just like a bot taking my job. uv inspired me to do some drawings regarding this matter. have a good day fake artest,0,83,2300,24600,y,y
The attention to detail in this is amazing ,0,83,2300,24600,y,n
Very Kool Buko! Your Ai is comming out Awesome!,1,50,4100,19700,y,n
wow,1,3,48,607,y,n
blud is shooting the ball to the wrong basket (skull)(skull),0,0,706,3800,y,n
"It could illustrate a gritty novel about dark magic, or simply illustrate A Plague Tale: Innocence. Superbly done.",0,3,929,129,y,n
"Fairy rabbit, lovely!",1,17,700,2600,y,n
I'm surprised the cat is so...calm!,0,3,1000,2000,y,n
You deserve this: (clap),1,135,1800,227900,n,n
Like how her hair is almost glowing! A sheen from her blade maybe? ,0,2800,182600,1100000,n,n
bro u dint proof in 1 hour so its not urs-,5,52200,315100,1800000,n,y
You need to teach us how to draw it!,3,163000,258900,2400000,n,n
pass,10,60000,285400,400000,n,y
reading these comments compared to ig reels I can tell u people saying 10/10 are LYING,0,79900,668800,174200,n,y
Another one who thinks they are an artist because of child like scribbles,5,28000,136000,166419,n,y
Screw that mod. This piece is excellent.,33,1700,1200,3200,n,n
your style looks so crunchy kinda like a funion,2,222900,95900,1500000,n,n
one out of ten,0,54,164,1800,n,y
noice!!,0,22,245,860,n,n
love the creativity,6,328,660,5900,n,n
"if this was a video game, I'd definitely play it",6,1400,325,26700,n,n
Who just loves her drawings so much- .-.,411,34000,2060000,350000,n,n
STILL LOVE THIS GIGWORK :D,0,49,10200,1100,n,n
UGH LUV IT,3,157,76,1900,n,n
It's adorable but I think I like the 1st version better,2,242,770,2700,n,n
underatted channel,1,92,26,1500,n,n
"I wish this was real, I'd watch the hell out of this!",62,14700,24400,400000,n,n
The 5th one (clap)(clap)(clap)(hearts),0,200,26100,600000,y,n
So vicious and adorable,1,9400,85100,18000,n,n
Bro is gonna make me have emotions,0,23700,208000,67000,n,n
Stunning,1,853,3306,3000,y,n
The character with the orange hair I share their expression,1,18400,31600,56000,n,n
What application do you use to make these? Just curious,2,1635,75100,19300,n,n
That's some goated content right here,1,9830,103000,47000,n,n
Bro ruined it,0,6860,14000,11000,n,y
